geneid,BPcum,genesymbol,type,TWAS.Z,TWAS.P
ENSG00000279781.1,2520708143,RP11-466A19.7,aoi,0.35736,0.720822
ENSG00000264458.1,2520846627,RP11-220C2.1,aoi,-1.00297,0.315877
ENSG00000176658.16,2520874365,MYO1D,aoi,-1.78635,0.074042
ENSG00000006042.11,2521126023,TMEM98,aoi,-0.78828,0.430534
ENSG00000141316.12,2521173642,SPACA3,aoi,0.262,0.793321
ENSG00000265697.1,2521727240,RP11-31I22.4,aoi,-2.9434,0.003246
ENSG00000265115.1,2521820557,RP11-31I22.2,aoi,0.64887,0.516422
ENSG00000264791.1,2522334513,CTC-304I17.2,aoi,1.54826,0.12156
ENSG00000261156.6,2522372170,RP11-215E13.1,aoi,0.23656,0.813
ENSG00000132141.13,2523143984,CCT6B,aoi,1.18289,0.236854
ENSG00000005156.11,2523184634,LIG3,aoi,0.34392,0.730908
ENSG00000092871.16,2523237170,RFFL,aoi,1.09941,0.271587
ENSG00000185379.20,2523296381,RAD51D,aoi,-0.07762,0.938133
ENSG00000073536.17,2523325049,NLE1,aoi,0.54762,0.583956
ENSG00000267782.1,2523355143,RP11-799D4.3,aoi,-0.41976,0.674658
ENSG00000166750.9,2523447861,SLFN5,aoi,0.567,0.570714
ENSG00000172716.16,2523551519,SLFN11,aoi,0.523,0.600974
ENSG00000267102.1,2523599431,RP11-686D22.7,aoi,-0.40945,0.682207
ENSG00000255987.1,2523704491,TOMM20P2,aoi,0.17,0.86501
ENSG00000267035.1,2523729933,RP11-1094M14.10,aoi,1.506,0.132067
ENSG00000006125.16,2523841743,AP2B1,aoi,-2.9867,0.00282
ENSG00000270885.1,2523927101,RASL10B,aoi,0.5114,0.609074
ENSG00000270765.5,2523938210,GAS2L2,aoi,2.91703,0.003534
ENSG00000270806.1,2523952503,C17orf50,aoi,1.017,0.309153
ENSG00000270871.1,2524013021,AC015849.19,aoi,-1.92713,0.053964
ENSG00000271394.1,2524079197,7SK,aoi,1.067,0.285972
ENSG00000270977.1,2524091881,AC015849.16,aoi,-1.13262,0.257375
ENSG00000271013.1,2524104838,LRRC37A9P,aoi,-1.09907,0.271735
ENSG00000278023.4,2524113935,RDM1,aoi,-0.45547,0.648774
ENSG00000275431.1,2524176479,CTB-186H2.3,aoi,-0.75562,0.449876
ENSG00000274767.1,2524379369,AC131056.3,aoi,0.858,0.390892
ENSG00000273611.4,2524682485,ZNHIT3,aoi,-1.05772,0.290182
ENSG00000278259.4,2524709049,MYO19,aoi,-0.33946,0.734262
ENSG00000278535.4,2524785817,DHRS11,aoi,-0.74005,0.459268
ENSG00000275720.1,2524823899,CTB-75G16.3,aoi,-0.568,0.570035
ENSG00000277268.1,2525088683,RP11-445F12.1,aoi,-0.41429,0.678663
ENSG00000273706.4,2525130214,LHX1,aoi,-0.92535,0.354786
ENSG00000276326.1,2525223295,MIR2909,aoi,-0.37295,0.709188
ENSG00000278638.1,2525238634,CTC-268N12.2,aoi,-0.38774,0.698209
ENSG00000278540.4,2525435419,ACACA,aoi,1.18941,0.234279
ENSG00000276234.4,2525632817,TADA2A,aoi,0.26915,0.787813
ENSG00000274620.1,2525804501,MIR378J,aoi,-0.45829,0.646747
ENSG00000278053.4,2525816117,DDX52,aoi,-0.23366,0.815246
ENSG00000277488.1,2526130263,5S_rRNA,aoi,-0.93995,0.347243
ENSG00000274419.6,2526198955,TBC1D3D,aoi,1.04213,0.29735
ENSG00000274611.3,2526376615,TBC1D3,aoi,-1.15263,0.249063
ENSG00000274284.1,2526420609,Y_RNA,aoi,-0.96025,0.336929
ENSG00000277399.4,2526524204,GPR179,aoi,1.616,0.106094
ENSG00000277363.4,2526757489,SRCIN1,aoi,0.674,0.500311
ENSG00000275238.1,2526891812,MIR4734,aoi,-0.57322,0.566498
ENSG00000275532.1,2526894386,CTB-58E17.3,aoi,0.407,0.684008
ENSG00000263874.2,2527116791,LINC00672,aoi,-0.38137,0.702926
ENSG00000263818.5,2527274620,CTD-2206N4.4,aoi,-1.11889,0.263186
ENSG00000161381.13,2527298364,PLXDC1,aoi,-0.496,0.619894
ENSG00000108298.9,2527392021,RPL19,aoi,1.38757,0.165269
ENSG00000108306.11,2527517099,FBXL20,aoi,-1.02531,0.305216
ENSG00000222777.1,2527735689,RNU6-233P,aoi,0.794,0.427195
ENSG00000273576.1,2527756753,RP11-390P24.1,aoi,-1.53031,0.125939
ENSG00000171532.4,2527796172,NEUROD2,aoi,-2.36371,0.018093
ENSG00000161395.13,2527873475,PGAP3,aoi,2.41962,0.015537
ENSG00000141738.13,2527932125,GRB7,aoi,-2.03637,0.041713
ENSG00000073605.18,2528101740,GSDMB,aoi,1.89902,0.057561
ENSG00000264968.1,2528123187,RP11-387H17.4,aoi,2.79054,0.005262
ENSG00000167914.11,2528155030,GSDMA,aoi,-0.50693,0.612205
ENSG00000008838.18,2528229671,MED24,aoi,1.369,0.170999
ENSG00000279199.1,2528303844,RP11-749I16.3,aoi,1.045,0.296023
ENSG00000108352.11,2528375849,RAPGEFL1,aoi,0.82293,0.410546
ENSG00000274621.1,2528383145,MIR6867,aoi,1.07556,0.282124
ENSG00000171475.13,2528441235,WIPF2,aoi,-2.68235,0.007311
ENSG00000252618.1,2528563648,RNA5SP441,aoi,-1.97659,0.048088
ENSG00000278834.1,2528838525,RP11-458J1.1,aoi,-1.38891,0.164859
ENSG00000264488.1,2528996035,RP11-605F20.1,aoi,-0.141,0.88787
ENSG00000265359.1,2529046557,RP5-1110E20.1,aoi,1.01465,0.310273
ENSG00000234477.1,2529138193,AC004231.2,aoi,0.5716,0.567592
ENSG00000221852.4,2529216129,KRTAP1-5,aoi,-1.19239,0.233109
ENSG00000197079.8,2529668430,KRT35,aoi,-1.01062,0.312198
ENSG00000229732.1,2529691211,AC019349.5,aoi,-0.66405,0.506661
ENSG00000239542.3,2529919781,RN7SL399P,aoi,-0.73714,0.46104
ENSG00000141696.12,2529996791,P3H4,aoi,0.92665,0.354108
ENSG00000141756.18,2530007464,FKBP10,aoi,0.865,0.387039
ENSG00000141698.16,2530020237,NT5C3B,aoi,0.53953,0.589523
ENSG00000168256.17,2530208029,NKIRAS2,aoi,0.05,0.960122
ENSG00000108771.12,2530296584,DHX58,aoi,-0.52271,0.601173
ENSG00000108774.14,2530329525,RAB5C,aoi,-1.23557,0.21662
ENSG00000278829.1,2530463335,RP11-358B23.7,aoi,0.29772,0.765913
ENSG00000177469.12,2530602500,PTRF,aoi,0.61508,0.538501
ENSG00000108784.9,2530729826,NAGLU,aoi,-1.48013,0.138839
ENSG00000108785.7,2530737251,HSD17B1P1,aoi,0.37189,0.709972
ENSG00000108786.10,2530741729,HSD17B1,aoi,-1.39273,0.163702
ENSG00000131470.14,2530764589,PSMC3IP,aoi,-0.04439,0.964592
ENSG00000037042.8,2530852671,TUBG2,aoi,-0.25681,0.797329
ENSG00000108799.12,2530912177,EZH1,aoi,0.64409,0.519514
ENSG00000126581.12,2531011257,BECN1,aoi,-1.91248,0.055815
ENSG00000278447.1,2531013427,MIR6781,aoi,0.60472,0.545366
ENSG00000213373.7,2531076203,LINC00671,aoi,0.04814,0.961603
ENSG00000267060.5,2531163776,PTGES3L,aoi,-0.69198,0.48895
ENSG00000131469.12,2531190131,RPL27,aoi,-0.173,0.862651
ENSG00000108830.9,2531218154,RND2,aoi,1.168,0.242807
ENSG00000240828.1,2531269057,RPL21P4,aoi,0.01643,0.986889
ENSG00000198496.10,2531329156,NBR2,aoi,0.44,0.659937
ENSG00000267681.1,2531334621,CTD-3199J23.6,aoi,1.33259,0.182668
ENSG00000188554.13,2531380601,NBR1,aoi,1.66485,0.095942
ENSG00000236383.8,2531450685,LINC00854,aoi,1.359,0.174147
ENSG00000279602.1,2531550217,CTD-3014M21.1,aoi,-1.23861,0.21549
ENSG00000252279.1,2531635075,RNU6-406P,aoi,2.03805,0.041545
ENSG00000175832.12,2531743247,ETV4,aoi,-2.06297,0.039116
ENSG00000167941.2,2531945775,SOST,aoi,2.19775,0.027967
ENSG00000108852.14,2532082049,MPP2,aoi,1.551,0.120902
ENSG00000131096.10,2532168119,PYY,aoi,0.584,0.55922
ENSG00000141349.8,2532263055,G6PC3,aoi,-0.63728,0.523942
ENSG00000108840.15,2532289739,HDAC5,aoi,1.12226,0.26175
ENSG00000267394.1,2532397239,CTB-175E5.7,aoi,0.93485,0.349863
ENSG00000260793.2,2532412071,RP5-882C2.2,aoi,0.31615,0.751891
ENSG00000004939.13,2532447779,SLC4A1,aoi,0.151,0.879976
ENSG00000252628.2,2532496645,RNU6-453P,aoi,-0.48291,0.629162
ENSG00000013306.15,2532511763,SLC25A39,aoi,1.1741,0.240357
ENSG00000267211.1,2532519553,RP5-1067M6.3,aoi,-0.78715,0.431192
ENSG00000283045.1,2532675999,RP11-764D10.2,aoi,0.791,0.428944
ENSG00000161692.17,2532919951,DBF4B,aoi,-0.90723,0.364286
ENSG00000131097.6,2533037932,HIGD1B,aoi,-0.187,0.851661
ENSG00000108883.12,2533064318,EFTUD2,aoi,-1.53003,0.12601
ENSG00000131094.3,2533153397,C1QL1,aoi,0.452,0.651269
ENSG00000172992.11,2533231740,DCAKD,aoi,-3.54131,0.000398
ENSG00000136448.11,2533269829,NMT1,aoi,2.24255,0.024926
ENSG00000224505.2,2533345471,AC002117.1,aoi,-1.31637,0.18805
ENSG00000267288.2,2533359707,RP13-890H12.2,aoi,0.42037,0.674219
ENSG00000267344.1,2533586720,CTB-39G8.3,aoi,-0.23068,0.817562
ENSG00000159314.11,2533603677,ARHGAP27,aoi,1.54332,0.122753
ENSG00000225190.9,2533652840,PLEKHM1,aoi,-2.27439,0.022942
ENSG00000214425.7,2533718053,LRRC37A4P,aoi,1.323,0.185835
ENSG00000131484.4,2533723852,RP11-798G7.5,aoi,-2.30013,0.021441
ENSG00000267198.1,2533744033,RP11-798G7.6,aoi,2.58748,0.009668
ENSG00000282774.1,2533824262,AC126544.4,aoi,-1.16714,0.243155
ENSG00000279685.2,2534086806,MAPT-IT1,aoi,-0.02709,0.978392
ENSG00000262372.1,2534225057,RP11-669E14.6,aoi,0.22523,0.821802
ENSG00000120071.12,2534317161,KANSL1,aoi,0.06004,0.952121
ENSG00000238723.1,2534404636,Y_RNA,aoi,-0.56268,0.57365
ENSG00000261575.2,2534457381,RP11-259G18.1,aoi,0.003,0.997606
ENSG00000176681.14,2534504779,LRRC37A,aoi,-0.13104,0.895742
ENSG00000228696.8,2534507806,ARL17B,aoi,2.22075,0.026368
ENSG00000260075.1,2534619513,NSFP1,aoi,2.29464,0.021754
ENSG00000266497.1,2534696158,RP11-995C19.2,aoi,0.16012,0.872783
ENSG00000238083.7,2534723096,LRRC37A2,aoi,0.07,0.944194
ENSG00000265315.1,2534727189,RN7SL199P,aoi,0.21461,0.830074
ENSG00000283194.1,2534742061,AC138645.2,aoi,1.3185,0.187336
ENSG00000158955.10,2535049481,WNT9B,aoi,0.087,0.930672
ENSG00000179673.4,2535168217,RPRML,aoi,0.09556,0.923867
ENSG00000263142.5,2535206041,LRRC37A17P,aoi,-0.06283,0.9499
ENSG00000277198.1,2535231481,RN7SL270P,aoi,-0.75037,0.453031
ENSG00000262879.5,2535231699,RP11-156P1.3,aoi,0.68508,0.493296
ENSG00000004897.11,2535343078,CDC27,aoi,0.13017,0.896431
ENSG00000253347.1,2535605939,CTD-2026D20.2,aoi,1.39524,0.162945
ENSG00000228782.7,2535661045,CTD-2026D20.3,aoi,1.15486,0.248148
ENSG00000108424.9,2535857006,KPNB1,aoi,-1.46268,0.143556
ENSG00000264558.1,2535872065,RP11-138C9.1,aoi,1.33578,0.181622
ENSG00000159111.12,2536016919,MRPL10,aoi,2.33965,0.019302
ENSG00000141295.13,2536029028,SCRN2,aoi,-1.12885,0.258962
ENSG00000189120.4,2536039907,SP6,aoi,1.098,0.272204
ENSG00000264920.1,2536083049,RP11-6N17.4,aoi,-1.78919,0.073584
ENSG00000266601.1,2536120909,RP11-6N17.3,aoi,2.29746,0.021593
ENSG00000264019.1,2536137054,RP11-6N17.6,aoi,-0.47473,0.634979
ENSG00000108465.14,2536164307,CDK5RAP3,aoi,-0.718,0.472757
ENSG00000005243.9,2536221614,COPZ2,aoi,-0.921,0.35705
ENSG00000266341.1,2536250041,RP5-890E16.4,aoi,-1.55499,0.119949
ENSG00000278765.1,2536256514,RP5-890E16.5,aoi,-0.35985,0.718959
ENSG00000002919.14,2536302731,SNX11,aoi,0.829,0.407104
ENSG00000141293.15,2536471373,SKAP1,aoi,-0.833,0.404845
ENSG00000235300.4,2536491064,THRA1/BTR,aoi,-2.10198,0.035555
ENSG00000120075.5,2536782125,HOXB5,aoi,-2.27073,0.023163
ENSG00000170703.15,2536979240,TTLL6,aoi,-2.34785,0.018882
ENSG00000136436.14,2537038271,CALCOCO2,aoi,0.66425,0.50653
ENSG00000212565.1,2537070419,SNORA68,aoi,0.895,0.370787
ENSG00000248278.1,2537081437,SUMO2P17,aoi,0.63692,0.524179
ENSG00000159199.13,2537083833,ATP5G1,aoi,-0.744,0.456876
ENSG00000159202.17,2537108228,UBE2Z,aoi,2.858,0.004263
ENSG00000159210.9,2537126732,SNF8,aoi,3.09149,0.001992
ENSG00000167083.6,2537396198,GNGT2,aoi,-1.2832,0.199422
ENSG00000273500.1,2537477915,MIR6129,aoi,-1.63658,0.101718
ENSG00000186244.7,2537590130,RP11-1079K10.1,aoi,0.64622,0.518137
ENSG00000250186.3,2537594155,RP11-1079K10.4,aoi,-0.76488,0.444341
ENSG00000121073.13,2537894494,SLC35B1,aoi,-0.01652,0.986817
ENSG00000249176.1,2538128986,RP11-304F15.5,aoi,-0.80103,0.423115
ENSG00000199492.1,2538155641,RNU6-1313P,aoi,-0.82381,0.410045
ENSG00000167100.14,2538309477,SAMD14,aoi,-0.084,0.933056
ENSG00000261959.1,2538353935,RP11-893F2.14,aoi,-0.009,0.992819
ENSG00000188662.6,2538365819,HILS1,aoi,0.36771,0.713088
ENSG00000249406.1,2538401231,RP11-893F2.5,aoi,1.29995,0.193617
ENSG00000251179.1,2538474231,TMEM92-AS1,aoi,0.514,0.607252
ENSG00000015532.9,2538544131,XYLT2,aoi,0.51918,0.603634
ENSG00000279792.1,2538553615,RP11-893F2.18,aoi,1.48549,0.137415
ENSG00000108826.15,2538560051,MRPL27,aoi,0.706,0.480188
ENSG00000262759.1,2538639967,MRPS21P9,aoi,0.3601,0.718776
ENSG00000136457.9,2538656247,CHAD,aoi,-0.713,0.475846
ENSG00000136444.9,2538671903,RSAD1,aoi,1.12635,0.260016
ENSG00000250286.1,2538727539,RP11-94C24.8,aoi,1.103,0.270027
ENSG00000006282.20,2538738971,SPATA20,aoi,1.0624,0.288054
ENSG00000108846.15,2538853030,ABCC3,aoi,2.70881,0.006753
ENSG00000167117.8,2538953809,LINC00483,aoi,0.673,0.500947
ENSG00000229980.4,2539077723,TOB1-AS1,aoi,-1.083,0.278809
ENSG00000247011.2,2539129367,RP11-700H6.1,aoi,0.95405,0.340059
ENSG00000239672.7,2539347497,NME1,aoi,0.62996,0.528721
ENSG00000011052.21,2539352183,NME1-NME2,aoi,0.43106,0.666423
ENSG00000279089.1,2539374313,RP11-481C4.2,aoi,0.842,0.399788
ENSG00000011258.15,2539408309,MBTD1,aoi,0.04793,0.961775
ENSG00000187504.6,2539692376,RPL7P48,aoi,1.25903,0.208019
ENSG00000227011.3,2541176101,C17orf112,aoi,1.20233,0.229237
ENSG00000166260.10,2543149859,COX11,aoi,-1.35218,0.176317
ENSG00000166263.13,2543260695,STXBP4,aoi,1.6489,0.099168
ENSG00000108960.7,2543596818,MMD,aoi,0.358,0.720343
ENSG00000141179.13,2543986420,PCTP,aoi,1.30921,0.190463
ENSG00000214226.8,2545004859,C17orf67,aoi,-0.76533,0.444075
ENSG00000153933.9,2545041349,DGKE,aoi,0.3981,0.69056
ENSG00000121060.15,2545090489,TRIM25,aoi,-0.7332,0.463436
ENSG00000121058.4,2545139136,COIL,aoi,-0.74,0.4593
ENSG00000121057.12,2545292736,AKAP1,aoi,-0.51,0.610051
ENSG00000263499.1,2545794149,RP11-118E18.4,aoi,-1.05783,0.290132
ENSG00000180891.12,2546097799,CUEDC1,aoi,0.41827,0.675746
ENSG00000136450.12,2546194869,SRSF1,aoi,0.13361,0.893708
ENSG00000011143.16,2546402037,MKS1,aoi,0.499,0.617779
ENSG00000005379.15,2546504509,TSPOAP1,aoi,-0.05971,0.952384
ENSG00000264399.1,2546525515,MIR4736,aoi,-1.41509,0.157043
ENSG00000213246.6,2546538649,SUPT4H1,aoi,-0.719,0.472141
ENSG00000108389.9,2546693233,MTMR4,aoi,1.81925,0.068874
ENSG00000121101.15,2546813882,TEX14,aoi,-0.83225,0.405266
ENSG00000212195.2,2546821254,U3,aoi,2.31978,0.020353
ENSG00000108384.14,2546903607,RAD51C,aoi,2.398,0.016485
ENSG00000251865.1,2547025462,RNU6-518P,aoi,-0.9629,0.335596
ENSG00000263938.1,2547155855,RP11-579O24.3,aoi,0.51489,0.606628
ENSG00000252212.1,2547318883,RNU2-58P,aoi,-2.04279,0.041073
ENSG00000182628.12,2547322125,SKA2,aoi,0.24009,0.810258
ENSG00000266537.1,2547367901,SPDYE22P,aoi,-2.58192,0.009825
ENSG00000153982.10,2547437733,GDPD1,aoi,-1.17527,0.239886
ENSG00000175155.8,2547556225,YPEL2,aoi,-0.29977,0.764353
ENSG00000265313.5,2547668423,LINC01476,aoi,-2.83196,0.004626
ENSG00000108406.9,2547776451,DHX40,aoi,1.20825,0.226951
ENSG00000141367.11,2547847838,CLTC,aoi,2.00109,0.045383
ENSG00000241913.1,2548101797,RP5-1073F15.1,aoi,-3.22748,0.001249
ENSG00000108443.13,2548111321,RPS6KB1,aoi,-2.92822,0.003409
ENSG00000238283.3,2548202483,TBC1D3P1,aoi,-2.6792,0.00738
ENSG00000264049.1,2548232581,MIR4737,aoi,0.03203,0.974446
ENSG00000267416.1,2548273517,CTD-2319I12.2,aoi,-1.7808,0.074946
ENSG00000267295.1,2548306755,CTD-2319I12.3,aoi,3.25402,0.001138
ENSG00000267095.1,2548327437,CTD-2319I12.5,aoi,2.77638,0.005497
ENSG00000275562.1,2548447081,RP11-3K24.3,aoi,-1.38286,0.166708
ENSG00000267667.1,2549322849,RP11-136H19.1,aoi,-1.03302,0.301596
ENSG00000273982.1,2549544475,RP11-332H18.7,aoi,1.04611,0.29551
ENSG00000121068.13,2549594197,TBX2,aoi,0.97457,0.329773
ENSG00000187013.4,2549602031,C17orf82,aoi,0.57471,0.565487
ENSG00000136492.8,2549961909,BRIP1,aoi,-0.69057,0.489834
ENSG00000202361.1,2550063649,Y_RNA,aoi,-0.59901,0.549166
ENSG00000108510.9,2550193459,MED13,aoi,-0.485,0.627676
ENSG00000239527.1,2550587285,RPS23P7,aoi,-0.07064,0.943686
ENSG00000087995.15,2550626860,METTL2A,aoi,-1.782,0.074749
ENSG00000264546.1,2550740439,RP11-464D20.6,aoi,0.86786,0.385471
ENSG00000173838.11,2550944345,MARCH10,aoi,0.83444,0.404031
ENSG00000283538.1,2551129135,RP11-180P8.1,aoi,0.59268,0.553393
ENSG00000265262.1,2551140525,TRMT112P3,aoi,0.24144,0.80921
ENSG00000270324.1,2551168183,RP11-180P8.4,aoi,-0.48173,0.630001
ENSG00000008283.15,2551628857,CYB561,aoi,-0.31762,0.750774
ENSG00000279369.1,2551891274,RP11-51F16.1,aoi,-2.02136,0.043242
ENSG00000108592.16,2552014238,FTSJ3,aoi,-1.907,0.056521
ENSG00000240280.6,2552046351,TCAM1P,aoi,-0.38567,0.699739
ENSG00000264954.1,2552187501,PRR29-AS1,aoi,-0.506,0.612857
ENSG00000256358.1,2552498019,RPL31P57,aoi,-2.38307,0.017169
ENSG00000271605.5,2552648355,MILR1,aoi,-0.8277,0.407838
ENSG00000256525.6,2552676926,POLG2,aoi,-2.89738,0.003763
ENSG00000176809.10,2553076411,LRRC37A3,aoi,0.09341,0.925575
ENSG00000232457.4,2553144630,SLC16A6P1,aoi,2.04575,0.04078
ENSG00000154240.16,2554103327,CEP112,aoi,0.82593,0.408842
ENSG00000266707.1,2554387481,PSMD7P1,aoi,-0.82474,0.409522
ENSG00000108878.4,2555240209,CACNG1,aoi,0.89879,0.368766
ENSG00000279361.1,2555827889,RP11-360N9.3,aoi,-1.7405,0.081771
ENSG00000200394.1,2555930249,SNORA38B,aoi,0.567,0.570714
ENSG00000171634.16,2556094467,BPTF,aoi,-1.36932,0.170901
ENSG00000266717.1,2556140831,RP11-855A2.3,aoi,-2.285,0.022313
ENSG00000266117.1,2556284928,FBXO36P1,aoi,1.02431,0.305688
ENSG00000265055.1,2556288275,AC145343.2,aoi,0.656,0.511824
ENSG00000278730.1,2556317641,RP11-147L13.11,aoi,1.815,0.069524
ENSG00000274561.1,2556321200,RP11-147L13.12,aoi,-1.0762,0.28184
ENSG00000277476.1,2556324083,RP11-147L13.13,aoi,0.68023,0.49636
ENSG00000278740.1,2556378371,RP11-147L13.14,aoi,-0.08277,0.934033
ENSG00000274712.1,2556396007,RP11-147L13.15,aoi,0.80689,0.41973
ENSG00000207561.1,2556614015,MIR635,aoi,-0.70616,0.480087
ENSG00000070540.12,2556628746,WIPI1,aoi,-1.158,0.246864
ENSG00000154258.16,2557207291,ABCA9,aoi,-0.4568,0.647815
ENSG00000267361.1,2557284409,LOC100421166,aoi,0.49926,0.617598
ENSG00000154262.12,2557299811,ABCA6,aoi,0.52459,0.599867
ENSG00000154263.17,2557385545,ABCA10,aoi,-0.15794,0.874507
ENSG00000278873.1,2557423503,PRO1804,aoi,-0.574,0.565968
ENSG00000267184.1,2557896799,RP1-200G19.1,aoi,1.143,0.253039
ENSG00000237560.5,2558162138,LINC01497,aoi,-0.37607,0.706863
ENSG00000267365.1,2558357697,KCNJ2-AS1,aoi,-0.20748,0.835631
ENSG00000228118.3,2559810723,MYL6P5,aoi,0.73978,0.459431
ENSG00000283517.1,2560040325,RP11-465C12.1,aoi,-0.681,0.495871
ENSG00000228639.6,2560217487,AC005152.3,aoi,-0.04916,0.960792
ENSG00000256124.5,2560225309,LINC01152,aoi,-0.57,0.568678
ENSG00000125398.5,2560313235,SOX9,aoi,-0.73335,0.463345
ENSG00000234899.9,2560325171,SOX9-AS1,aoi,0.8495,0.395601
ENSG00000263680.2,2560616911,RP11-57A1.1,aoi,1.15916,0.246389
ENSG00000227036.6,2560671313,LINC00511,aoi,0.213,0.831327
ENSG00000180616.8,2561360338,SSTR2,aoi,0.722,0.470294
ENSG00000264860.1,2561370301,RP11-143K11.5,aoi,0.6036,0.54611
ENSG00000141219.15,2561430105,C17orf80,aoi,-0.7647,0.444452
ENSG00000264985.2,2561707025,RP11-449L23.2,aoi,-0.50751,0.611794
ENSG00000264750.1,2561831581,RP11-277J6.2,aoi,-0.575,0.565291
ENSG00000266765.1,2562092829,CTD-2582D11.1,aoi,0.62267,0.533502
ENSG00000141540.10,2562427283,TTYH2,aoi,-0.26731,0.789233
ENSG00000196169.14,2562530531,KIF19,aoi,-0.44828,0.653954
ENSG00000200021.1,2562607165,RNA5SP448,aoi,-1.03131,0.302394
ENSG00000231027.1,2562753545,AC079325.6,aoi,2.0231,0.043063
ENSG00000186074.18,2562893160,CD300LF,aoi,0.078,0.937828
ENSG00000172794.19,2562898472,RAB37,aoi,-0.473,0.636213
ENSG00000109065.11,2562962973,NAT9,aoi,0.37784,0.70555
ENSG00000161509.13,2563041279,GRIN2C,aoi,0.92433,0.355317
ENSG00000161513.11,2563057279,FDXR,aoi,-0.28783,0.773477
ENSG00000109089.7,2563186231,CDR2L,aoi,-0.06022,0.951983
ENSG00000252545.1,2563220657,RNU6-362P,aoi,-0.17526,0.860875
ENSG00000125449.6,2563309624,ARMC7,aoi,0.29239,0.76999
ENSG00000252042.1,2563335231,Y_RNA,aoi,-1.42125,0.155244
ENSG00000125450.10,2563410224,NUP85,aoi,-1.27632,0.201842
ENSG00000125447.16,2563438997,GGA3,aoi,-0.66486,0.50614
ENSG00000125445.10,2563453539,MRPS7,aoi,1.774,0.076063
ENSG00000125457.13,2563458243,MIF4GD,aoi,-1.88693,0.05917
ENSG00000177885.13,2563551408,GRB2,aoi,-1.14935,0.250411
ENSG00000177728.15,2563660140,TMEM94,aoi,1.49008,0.136203
ENSG00000177303.9,2563697437,CASKIN2,aoi,0.793,0.427778
ENSG00000073350.13,2563739659,LLGL2,aoi,0.57065,0.568237
ENSG00000132470.13,2563929089,ITGB4,aoi,-0.49754,0.618809
ENSG00000141569.10,2564078185,TRIM65,aoi,2.445,0.014485
ENSG00000204316.12,2564091543,MRPL38,aoi,-1.36056,0.173651
ENSG00000267426.5,2564103903,RP11-552F3.12,aoi,1.57575,0.115083
ENSG00000267128.1,2564337119,RP11-449J21.5,aoi,-0.8937,0.371482
ENSG00000185262.8,2564457766,UBALD2,aoi,1.216,0.223985
ENSG00000129646.14,2564480539,QRICH2,aoi,1.63995,0.101016
ENSG00000251779.1,2564508940,Y_RNA,aoi,-0.55721,0.577387
ENSG00000161542.16,2564536519,PRPSAP1,aoi,0.858,0.390892
ENSG00000129673.9,2564651249,AANAT,aoi,-0.48012,0.63114
ENSG00000163597.14,2564751073,SNHG16,aoi,1.185,0.236017
ENSG00000181038.13,2564919899,METTL23,aoi,1.59128,0.111546
ENSG00000092931.11,2564948173,MFSD11,aoi,2.28967,0.02204
ENSG00000267521.1,2565147138,RP11-87G24.6,aoi,-0.75955,0.447521
ENSG00000234912.10,2565280369,SNHG20,aoi,0.765,0.444272
ENSG00000222808.1,2565342133,RNU4-47P,aoi,0.56347,0.573114
ENSG00000184640.17,2565580098,SEPT9,aoi,-1.09789,0.272251
ENSG00000267016.1,2565660481,RP11-75C10.9,aoi,1.01335,0.310892
ENSG00000267506.5,2565744607,RP11-13K12.1,aoi,0.10528,0.916151
ENSG00000279600.1,2566198153,RP11-637C24.5,aoi,-0.1806,0.856685
ENSG00000078687.17,2566223553,TNRC6C,aoi,0.272,0.785622
ENSG00000238658.1,2566256515,RNU6-625P,aoi,-1.6879,0.09143
ENSG00000204282.4,2566299114,TNRC6C-AS1,aoi,1.85518,0.063571
ENSG00000141524.15,2566310948,TMC6,aoi,0.226,0.821201
ENSG00000167895.14,2566326385,TMC8,aoi,-1.77995,0.075085
ENSG00000108639.7,2566360558,SYNGR2,aoi,0.16169,0.871553
ENSG00000183077.15,2566387025,AFMID,aoi,-1.25961,0.207809
ENSG00000279886.1,2566440155,RP11-219G17.8,aoi,0.30148,0.76305
ENSG00000267676.1,2566440970,THA1P,aoi,0.87769,0.38011
ENSG00000087157.18,2566591393,PGS1,aoi,-3.25875,0.001119
ENSG00000187775.16,2566690061,DNAH17,aoi,1.91747,0.055178
ENSG00000243426.3,2566722449,RN7SL454P,aoi,-1.009,0.312975
ENSG00000267123.5,2566814239,CTD-2357A8.3,aoi,1.46147,0.143885
ENSG00000108669.16,2566917688,CYTH1,aoi,-0.63996,0.522197
ENSG00000055483.19,2567003927,USP36,aoi,1.55986,0.118794
ENSG00000267601.1,2567045177,RP11-323N12.5,aoi,-1.4177,0.156279
ENSG00000178404.9,2567076579,CEP295NL,aoi,0.213,0.831327
ENSG00000035862.12,2567078697,TIMP2,aoi,-1.47968,0.138959
ENSG00000173918.14,2567225817,C1QTNF1,aoi,-0.68013,0.496421
ENSG00000167280.16,2567271285,ENGASE,aoi,0.49442,0.621009
ENSG00000182156.9,2567926086,ENPP7,aoi,-2.20948,0.027141
ENSG00000262188.1,2568111925,RP11-353N14.4,aoi,0.23647,0.813071
ENSG00000167291.15,2568173611,TBC1D16,aoi,-0.472,0.636927
ENSG00000262172.1,2568181908,CTD-2529O21.1,aoi,-1.66105,0.096703
ENSG00000141519.14,2568258138,CCDC40,aoi,-1.165,0.244019
